Size,Stock,images,old_price,price,product_description_text,product_table,size_table,size_table_labels,sub_catogery,title
"75,
                    ,
                                        ,
                                        
                    75                                      ,80,
                    ,
                                        ,
                                        
                    80                                      ,85,
                    ,
                                        ,
                                        
                    85                                      ",1 left,"https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111016401_g1.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111016401_g0.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111016401_g2.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111016401_g3.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto","1,299",909,"
					       
 ,

 ,
    ,
   ,
  
					,
					       Light beige solid women's belt, secured with a tang closure.					       
					       ,
					",,"25-27,XS,80,28-29,S,85,30-32,L,90,33-34,XL,95,25-27,XS,31,28-29,S,33,30-32,L,35,33-34,95,37","JEANS/PANT SIZE,BELT SIZE,JEANS/PANT SIZE,INTERNATIONAL SIZE,BELT SIZE",Belts,Beige Belt
"75,
                    ,
                                        ,
                                        
                    75                                      ,80,
                    ,
                                        ,
                                        
                    80                                      ,85,
                    ,
                                        ,
                                        
                    85                                      ,90,
                    ,
                                        ,
                                        
                    90                                      ",,"https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111017701_g1.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111017701_g0.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111017701_g2.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111017701_g3.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto","1,299",909,"
					        ,

 ,
    ,
   ,
  
					,
					       Women's beige textured waist belt, woven texture, resin buckle. 					       
					       ,
					",,"xS
        ,70,s,75,L
        ,80,XL
        ,85,xS
        ,27.5,s,29.5,L
        ,31,XL
        ,33","INTERNATIONAL SIZE
        ,BELT SIZE,INTERNATIONAL SIZE,BELT SIZE",Belts,Beige Textured Waist Belt
"75,
                    ,
                                        ,
                                        
                    75                                      ,80,
                    ,
                                        ,
                                        
                    80                                      ,85,
                    ,
                                        ,
                                        
                    85                                      ,90,
                    ,
                                        ,
                                        
                    90                                      ",2 left,"https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111016701_g1.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111016701_g0.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111016701_g2.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111016701_g3.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto","1,299",909,"
					       
 ,

 ,
    ,
   ,
  
					,
					       Light beige solid women's belt, secured with a tang closure.					       
					       ,
					",,"25-27,XS,80,28-29,S,85,30-32,L,90,33-34,XL,95,25-27,XS,31,28-29,S,33,30-32,L,35,33-34,95,37","JEANS/PANT SIZE,BELT SIZE,JEANS/PANT SIZE,INTERNATIONAL SIZE,BELT SIZE",Belts,Brown Belt
"75,
                    ,
                                        ,
                                        
                    75                                      ,80,
                    ,
                                        ,
                                        
                    80                                      ,85,
                    ,
                                        ,
                                        
                    85                                      ,90,
                    ,
                                        ,
                                        
                    90                                      ",,"https://images.bestsellerclothing.in/data/vm/07Oct2021/255866201_g1.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/07Oct2021/255866201_g0.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/07Oct2021/255866201_g2.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/07Oct2021/255866201_g3.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto","1,599","1,119","
					       Women's tan brown PU waist belt, has golden trim and buckle. 					       
					       ,
					",,,,Belts,Brown Waist Belt 
"75,
                    ,
                                        ,
                                        
                    75                                      ,80,
                    ,
                                        ,
                                        
                    80                                      ,85,
                    ,
                                        ,
                                        
                    85                                      ,90,
                    ,
                                        ,
                                        
                    90                                      ",1 left,"https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111016901_g1.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111016901_g0.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111016901_g2.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111016901_g3.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111016901_g4.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto","1,499","1,049","
					        ,

 ,
    ,
   ,
  
					,
					       Women's brown faux leather belt with a thin golden metal buckle, visible stitch lines. 					       
					       ,
					",,"xS
        ,70,s,75,L
        ,80,XL
        ,85,xS
        ,27.5,s,29.5,L
        ,31,XL
        ,33","INTERNATIONAL SIZE
        ,BELT SIZE,INTERNATIONAL SIZE,BELT SIZE",Belts,Brown Buckle Waist Belt
"75,
                    ,
                                        ,
                                        
                    75                                      ,80,
                    ,
                                        ,
                                        
                    80                                      ,85,
                    ,
                                        ,
                                        
                    85                                      ,90,
                    ,
                                        ,
                                        
                    90                                      ",,"https://images.bestsellerclothing.in/data/vero-moda/oct-21-2021/259693501_g1.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-21-2021/259693501_g0.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-21-2021/259693501_g2.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-21-2021/259693501_g3.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto","1,299",909,"
					       Women's blue waist belt made with pu leather,golden thin buckle, textured, thin. 					       
					       ,
					",,,,Belts,Blue Waist Belt 
"75,
                    ,
                                        ,
                                        
                    75                                      ,80,
                    ,
                                        ,
                                        
                    80                                      ,85,
                    ,
                                        ,
                                        
                    85                                      ,90,
                    ,
                                        ,
                                        
                    90                                      ",,"https://images.bestsellerclothing.in/data/vm/07Oct2021/255866301_g1.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/07Oct2021/255866301_g0.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/07Oct2021/255866301_g2.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/07Oct2021/255866301_g3.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/07Oct2021/255866301_g4.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/07Oct2021/255866301_g5.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/07Oct2021/255866301_g6.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto","1,299",909,"
					       Women's beige PU belt with a buckle. 					       
					       ,
					",,,,Belts,Beige Belt 
"75,
                    ,
                                        ,
                                        
                    75                                      ,80,
                    ,
                                        ,
                                        
                    80                                      ,85,
                    ,
                                        ,
                                        
                    85                                      ,90,
                    ,
                                        ,
                                        
                    90                                      ",,"https://images.bestsellerclothing.in/data/vm/07Oct2021/255866401_g1.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/07Oct2021/255866401_g0.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/07Oct2021/255866401_g2.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/07Oct2021/255866401_g3.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/07Oct2021/255866401_g4.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/07Oct2021/255866401_g5.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/07Oct2021/255866401_g6.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/07Oct2021/255866401_g7.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/07Oct2021/255866401_g8.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/07Oct2021/255866401_g9.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto","1,599","1,119","
					       Pack of 3 statement women's belts.					       
					       ,
					",,,,Belts,"Black, Shimmer & Maroon Belts - Pack of 3 "
"75,
                    ,
                                        ,
                                        
                    75                                      ,80,
                    ,
                                        ,
                                        
                    80                                      ,85,
                    ,
                                        ,
                                        
                    85                                      ",3 left,"https://images.bestsellerclothing.in/data/vm/07Oct2021/255866501_g1.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/07Oct2021/255866501_g0.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/07Oct2021/255866501_g2.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/07Oct2021/255866501_g3.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto","1,499","1,049","
					       Women's black waist belt with gold buckle, perfect for casual and partywear. 					       
					       ,
					",,,,Belts,Black Waist Belt 
"75,
                    ,
                                        ,
                                        
                    75                                      ,80,
                    ,
                                        ,
                                        
                    80                                      ,85,
                    ,
                                        ,
                                        
                    85                                      ,90,
                    ,
                                        ,
                                        
                    90                                      ",5 left,"https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111017601_g1.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111017601_g0.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111017601_g2.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111017601_g3.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto","1,699","1,189","
					        ,

 ,
    ,
   ,
  
					,
					       Women's beige textured waist belt, woven texture, resin buckle. 					       
					       ,
					",,"xS
        ,70,s,75,L
        ,80,XL
        ,85,xS
        ,27.5,s,29.5,L
        ,31,XL
        ,33","INTERNATIONAL SIZE
        ,BELT SIZE,INTERNATIONAL SIZE,BELT SIZE",Belts,Beige Textured Waist Belt
